         25989017 function calls (19595184 primitive calls) in 11.450 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    51840    0.013    0.000    0.013    0.000 xsdtree.py:138(xsd_element_class_name)
    42739    0.013    0.000    0.013    0.000 xsdtree.py:54(<listcomp>)
102722/102718    0.012    0.000    0.012    0.000 {built-in method builtins.len}
      992    0.012    0.000    0.121    0.000 {method 'find' of 'xml.etree.ElementTree.Element' objects}
    85828    0.012    0.000    0.012    0.000 {built-in method builtins.issubclass}
    42792    0.012    0.000    0.012    0.000 ElementPath.py:336(__init__)
     6634    0.012    0.000    0.037    0.000 xsdelement.py:29(add_xml_element)
    20417    0.011    0.000    0.014    0.000 chord.py:445(get_parent)
     7583    0.010    0.000    0.109    0.000 xsdsimpletype.py:109(_populate_permitted)
     4857    0.010    0.000    0.039    0.000 tree.py:88(previous)
     8825    0.010    0.000    0.013    0.000 core.py:40(replace_key_underline_with_hyphen)
    20362    0.010    0.000    0.015    0.000 copyreg.py:94(__newobj__)
    14811    0.010    0.000    0.010    0.000 util.py:61(<listcomp>)
    21938    0.009    0.000    0.012    0.000 xmlchildcontainer.py:553(<listcomp>)
     6011    0.009    0.000    0.224    0.000 xmlelement.py:66(_check_required_attributes)
    51973    0.009    0.000    0.009    0.000 {method 'extend' of 'list' objects}
     3315    0.009    0.000    0.009    0.000 chord.py:554(<listcomp>)
    15474    0.009    0.000    0.009    0.000 {built-in method _abc._abc_instancecheck}
     7583    0.009    0.000    0.057    0.000 xsdtree.py:189(get_pattern)
2939/1120    0.009    0.000    0.093    0.000 core.py:174(_get_music_tree_descendent)
7583/7580    0.009    0.000    0.076    0.000 xsdsimpletype.py:129(value)
     2939    0.008    0.000    0.015    0.000 core.py:33(_check_args_kwargs)
     9735    0.008    0.000    0.017    0.000 quarterduration.py:265(_convert_other)
    39394    0.008    0.000    0.008    0.000 {built-in method builtins.hasattr}
4278/4275    0.008    0.000    0.057    0.000 xsdsimpletype.py:249(value)
    13646    0.007    0.000    0.009    0.000 beat.py:408(get_children)
  12021/5    0.007    0.000    0.577    0.115 xmlelement.py:188(et_xml_element)
     8527    0.007    0.000    0.020    0.000 xmlelement.py:85(<listcomp>)
     7583    0.007    0.000    0.019    0.000 xsdsimpletype.py:112(_populate_forced_permitted)
     6634    0.007    0.000    0.007    0.000 xmlchildcontainer.py:419(<listcomp>)
     4239    0.007    0.000    0.112    0.000 xsdcomplextype.py:14(__init__)
     6996    0.007    0.000    0.008    0.000 note.py:221(xml_object)
     8044    0.007    0.000    0.008    0.000 chord.py:438(get_children)
     7583    0.007    0.000    0.010    0.000 xsdtree.py:231(get_union)
    16803    0.006    0.000    0.008    0.000 xmlchildcontainer.py:388(requirements_not_fulfilled)
    14836    0.006    0.000    0.010    0.000 xsdtree.py:91(is_simple_type)
    20362    0.006    0.000    0.006    0.000 {method 'update' of 'dict' objects}
     3408    0.006    0.000    0.018    0.000 accidental.py:266(get_pitch_parameters)
    15166    0.006    0.000    0.008    0.000 xsdsimpletype.py:93(<listcomp>)
     6738    0.006    0.000    0.019    0.000 quarterduration.py:220(__eq__)
     6011    0.006    0.000    0.012    0.000 xmlelement.py:73(_check_required_value)
     3434    0.006    0.000    0.008    0.000 quarterduration.py:62(value)
    10098    0.006    0.000    0.008    0.000 accidental.py:259(get_parent)
     2939    0.006    0.000    0.039    0.000 core.py:77(_get_kwargs)
     1272    0.006    0.000    0.419    0.000 xmlelement.py:53(_check_attribute)
    15811    0.006    0.000    0.006    0.000 {method 'replace' of 'str' objects}
     2997    0.006    0.000    0.032    0.000 xmlelement.py:68(<listcomp>)
    13685    0.006    0.000    0.008    0.000 xsdtree.py:97(is_complex_type)
  210/158    0.005    0.000    0.106    0.001 ElementPath.py:260(select)
    20396    0.005    0.000    0.005    0.000 xmlelement.py:161(attributes)
    15474    0.005    0.000    0.014    0.000 abc.py:117(__instancecheck__)
    17801    0.005    0.000    0.007    0.000 xsdtree.py:57(_check_child_to_be_added)
      105    0.005    0.000    1.922    0.018 beat.py:210(_update_tuplets)
    25328    0.005    0.000    0.005    0.000 xmlelement.py:207(value_)
    20364    0.005    0.000    0.005    0.000 {built-in method __new__ of type object at 0x10c6e43b8}
    24712    0.005    0.000    0.005    0.000 xmlelement.py:229(xsd_check)
     1649    0.005    0.000    0.012    0.000 core.py:55(_check_child_to_be_added)
     2074    0.005    0.000    0.185    0.000 core.py:27(__init__)
      105    0.005    0.000    0.573    0.005 beat.py:457(beam_chord_group)
      310    0.005    0.000    0.026    0.000 xmlchildcontainer.py:466(<listcomp>)
    29674    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
     6634    0.004    0.000    0.029    0.000 xmlchildcontainer.py:462(<listcomp>)
     1272    0.004    0.000    0.010    0.000 core.py:13(convert_to_xsd_class_name)
     2665    0.004    0.000    0.044    0.000 xsdsimpletype.py:156(value)
    22764    0.004    0.000    0.004    0.000 xmlelement.py:175(child_container_tree)
     6805    0.004    0.000    0.012    0.000 chord.py:272(notes)
 1975/691    0.004    0.000    0.051    0.000 chord.py:280(offset)
     4239    0.004    0.000    0.102    0.000 xsdcomplextype.py:26(_check_value)
      413    0.004    0.000    2.643    0.006 note.py:38(__init__)
     6425    0.004    0.000    0.006    0.000 xmlchildcontainer.py:279(<listcomp>)
     1799    0.004    0.000    0.012    0.000 quarterduration.py:151(__add__)
     1272    0.004    0.000    0.018    0.000 xmlelement.py:56(<listcomp>)
     9685    0.004    0.000    0.016    0.000 accidental.py:214(parent_midi)
     2939    0.004    0.000    0.005    0.000 core.py:35(_get_default_keys)
      413    0.004    0.000    4.752    0.012 chord.py:178(final_updates)
      413    0.004    0.000    2.656    0.006 chord.py:161(_update_notes)
      826    0.004    0.000    0.537    0.001 note.py:259(update_xml_notations)
      413    0.004    0.000    0.568    0.001 note.py:112(_update_xml_pitch_or_rest)
      413    0.003    0.000    0.488    0.001 note.py:98(_update_xml_duration)
     1272    0.003    0.000    0.017    0.000 xmlelement.py:55(<listcomp>)
     4239    0.003    0.000    0.105    0.000 xsdcomplextype.py:39(value)
      402    0.003    0.000    0.033    0.000 beat.py:329(add_child)
    12022    0.003    0.000    0.003    0.000 xmlelement.py:112(<dictcomp>)
     7674    0.003    0.000    0.007    0.000 xmlelement.py:237(xsd_check)
      402    0.003    0.000    0.014    0.000 beat.py:113(_add_child)
    14463    0.003    0.000    0.003    0.000 {method 'upper' of 'str' objects}
    10265    0.003    0.000    0.003    0.000 {method 'index' of 'list' objects}
     4392    0.003    0.000    0.003    0.000 xmlchildcontainer.py:566(<listcomp>)
    11810    0.003    0.000    0.003    0.000 xmlwrapper.py:10(xml_object)
      105    0.003    0.000    0.145    0.001 measure.py:62(_update_accidentals)
      413    0.003    0.000    0.190    0.000 midi.py:34(_update_pitch_parameters)
    16541    0.003    0.000    0.003    0.000 quarterduration.py:45(value)
     2798    0.003    0.000    0.003    0.000 measure.py:351(get_children)
     3861    0.003    0.000    0.003    0.000 beat.py:415(get_parent)
     1272    0.003    0.000    0.025    0.000 xsdattribute.py:60(type_)
      105    0.003    0.000    0.042    0.000 beat.py:197(_update_dots)
      588    0.002    0.000    0.374    0.001 beat.py:466(add_beam)
     7674    0.002    0.000    0.111    0.000 xmlelement.py:48(_fill_xsd_tree)
     1587    0.002    0.000    0.004    0.000 xmlelement.py:282(find_children)
     3434    0.002    0.000    0.011    0.000 quarterduration.py:19(__init__)
    17492    0.002    0.000    0.002    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
      413    0.002    0.000    0.427    0.001 chord.py:40(__init__)
     1900    0.002    0.000    0.856    0.000 xmlchildcontainer.py:548(get_required_element_names)
      210    0.002    0.000    0.812    0.004 beat.py:211(add_bracket_to_notes)
     1272    0.002    0.000    0.097    0.000 xsdattribute.py:75(__call__)
      402    0.002    0.000    1.066    0.003 part.py:207(add_chord)
      413    0.002    0.000    0.049    0.000 measure.py:358(get_divisions)
    11196    0.002    0.000    0.002    0.000 quarterduration.py:289(quarter_duration)
     3265    0.002    0.000    0.003    0.000 voice.py:106(get_children)
      815    0.002    0.000    0.258    0.000 note.py:82(_update_xml_accidental)
     1980    0.002    0.000    0.003    0.000 measure.py:266(xml_object)
     8825    0.002    0.000    0.002    0.000 xmlelement.py:150(<dictcomp>)
 1361/523    0.002    0.000    0.007    0.000 core.py:159(get_chords)
      413    0.002    0.000    0.710    0.002 note.py:186(midi)
      413    0.002    0.000    0.520    0.001 chord.py:119(_update_xml_technicals)
     3168    0.002    0.000    0.003    0.000 voice.py:113(get_parent)
     1756    0.002    0.000    0.011    0.000 accidental.py:226(sign)
      826    0.002    0.000    0.928    0.001 note.py:210(quarter_duration)
    11339    0.002    0.000    0.002    0.000 xmlchildcontainer.py:356(chosen_child)
     1025    0.002    0.000    0.003    0.000 voice.py:48(number)
      105    0.002    0.000    0.954    0.009 part.py:250(add_measure)
      691    0.002    0.000    0.006    0.000 quarterduration.py:193(__radd__)
