33.726771585
         60844953 function calls (53920799 primitive calls) in 34.593 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   169030    0.075    0.000    0.098    0.000 xsdtree.py:103(name)
    49000    0.075    0.000    0.104    0.000 xmlelement.py:269(find_child)
    46000    0.073    0.000    0.170    0.000 xmlelement.py:65(_check_required_attributes)
   123000    0.072    0.000    0.145    0.000 quarterduration.py:265(_convert_other)
   523134    0.071    0.000    0.071    0.000 {method 'append' of 'list' objects}
   244000    0.070    0.000    0.092    0.000 xmlchildcontainer.py:174(_check_child_to_be_added)
    73104    0.067    0.000    0.082    0.000 core.py:1(cap_first)
    50000    0.066    0.000    0.590    0.000 xsdsimpletype.py:109(_populate_permitted)
    55000    0.066    0.000    0.085    0.000 core.py:40(replace_key_underline_with_hyphen)
29000/5000    0.065    0.000    1.060    0.000 xmlchildcontainer.py:278(_populate_children)
   422000    0.063    0.000    0.063    0.000 {built-in method builtins.issubclass}
    81000    0.061    0.000    0.166    0.000 quarterduration.py:220(__eq__)
63000/50000    0.059    0.000    1.032    0.000 xmlchildcontainer.py:81(_check_if_group_requires_elements)
    46000    0.059    0.000    0.113    0.000 xmlelement.py:72(_check_required_value)
50000/47000    0.059    0.000    0.630    0.000 xsdsimpletype.py:129(value)
    50000    0.058    0.000    0.469    0.000 xsdtree.py:191(get_pattern)
   290019    0.058    0.000    0.058    0.000 {built-in method builtins.hasattr}
     1000    0.057    0.000    0.096    0.000 ElementTree.py:810(_namespaces)
   379041    0.057    0.000    0.057    0.000 {built-in method builtins.iter}
    99000    0.057    0.000    0.057    0.000 {built-in method _abc._abc_instancecheck}
   256000    0.056    0.000    0.056    0.000 xsdattribute.py:54(name)
91000/5000    0.056    0.000    2.037    0.000 xmlelement.py:187(et_xml_element)
72000/71000    0.053    0.000    0.287    0.000 xmlwrapper.py:41(__getattr__)
    81000    0.053    0.000    0.053    0.000 util.py:61(<listcomp>)
   338000    0.052    0.000    0.052    0.000 xsdelement.py:14(xsd_tree)
13850/12900    0.049    0.000    0.076    0.000 ElementPath.py:133(select)
   478000    0.048    0.000    0.048    0.000 {method 'strip' of 'str' objects}
    45000    0.048    0.000    0.048    0.000 xmlchildcontainer.py:421(<listcomp>)
   100000    0.047    0.000    0.064    0.000 xsdsimpletype.py:93(<listcomp>)
    89000    0.047    0.000    0.068    0.000 copyreg.py:94(__newobj__)
    97000    0.046    0.000    0.230    0.000 quarterduration.py:19(__init__)
    14000    0.046    0.000    0.128    0.000 core.py:5(get_cleaned_token)
    17000    0.046    0.000    0.046    0.000 chord.py:554(<listcomp>)
    50000    0.044    0.000    0.123    0.000 xsdsimpletype.py:112(_populate_forced_permitted)
    50000    0.044    0.000    0.073    0.000 xsdtree.py:218(<listcomp>)
    49000    0.044    0.000    0.126    0.000 xmlelement.py:84(<listcomp>)
   101000    0.044    0.000    0.076    0.000 xsdtree.py:91(is_simple_type)
   184000    0.043    0.000    0.043    0.000 xmlelement.py:228(xsd_check)
    50000    0.043    0.000    0.068    0.000 xsdtree.py:233(get_union)
26000/23000    0.042    0.000    0.428    0.000 xsdsimpletype.py:249(value)
    50000    0.041    0.000    0.066    0.000 xsdtree.py:220(<listcomp>)
    26000    0.041    0.000    0.316    0.000 xsdcomplextype.py:15(__init__)
    11000    0.040    0.000    0.794    0.000 xmlelement.py:52(_check_attribute)
   104000    0.040    0.000    0.049    0.000 xmlchildcontainer.py:388(requirements_not_fulfilled)
    95000    0.040    0.000    0.059    0.000 xsdtree.py:97(is_complex_type)
   165000    0.037    0.000    0.037    0.000 xmlelement.py:206(value_)
    19000    0.036    0.000    0.353    0.000 xsdsimpletype.py:227(value)
    93000    0.036    0.000    0.047    0.000 xmlchildcontainer.py:555(<listcomp>)
    21000    0.033    0.000    0.109    0.000 quarterduration.py:151(__add__)
    12000    0.033    0.000    0.085    0.000 core.py:55(_check_child_to_be_added)
2000/1000    0.033    0.000    0.694    0.001 beat.py:329(add_child)
     3000    0.033    0.000    0.212    0.000 quarterduration.py:227(is_writable)
    99000    0.032    0.000    0.089    0.000 abc.py:117(__instancecheck__)
10000/5000    0.032    0.000    0.321    0.000 core.py:174(_get_music_tree_descendent)
    89000    0.032    0.000    0.032    0.000 {method 'update' of 'dict' objects}
   131000    0.031    0.000    0.031    0.000 xmlelement.py:160(attributes)
   202002    0.031    0.000    0.031    0.000 {method 'items' of 'dict' objects}
    79001    0.030    0.000    0.030    0.000 {method 'replace' of 'str' objects}
    97165    0.030    0.000    0.039    0.000 xsdtree.py:57(_check_child_to_be_added)
    24000    0.029    0.000    0.049    0.000 xmlelement.py:67(<listcomp>)
    10000    0.029    0.000    0.054    0.000 core.py:33(_check_args_kwargs)
   208000    0.028    0.000    0.028    0.000 quarterduration.py:45(value)
   234000    0.028    0.000    0.028    0.000 {method 'write' of '_io.StringIO' objects}
     2000    0.027    0.000    0.049    0.000 ElementTree.py:1334(XML)
    45000    0.027    0.000    0.177    0.000 xmlchildcontainer.py:464(<listcomp>)
    13000    0.026    0.000    0.418    0.000 core.py:27(__init__)
    12000    0.025    0.000    1.823    0.000 layout.py:95(_update_parent)
14000/11000    0.025    0.000    0.410    0.000 xsdsimpletype.py:270(value)
    92000    0.025    0.000    0.025    0.000 xmlelement.py:111(<dictcomp>)
    39000    0.024    0.000    0.030    0.000 beat.py:415(get_parent)
    76000    0.023    0.000    0.025    0.000 xsdcomplextype.py:45(get_xsd_attributes)
   118000    0.023    0.000    0.023    0.000 xmlelement.py:174(child_container_tree)
24000/4000    0.022    0.000    0.068    0.000 core.py:95(quantize)
    10000    0.021    0.000    0.134    0.000 core.py:77(_get_kwargs)
     2000    0.021    0.000    0.021    0.000 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
    89000    0.021    0.000    0.021    0.000 {built-in method __new__ of type object at 0x10b12d3b8}
    26000    0.021    0.000    0.276    0.000 xsdcomplextype.py:40(value)
    19000    0.021    0.000    2.697    0.000 xmlchildcontainer.py:550(get_required_element_names)
     1000    0.020    0.000    9.675    0.010 score.py:31(__init__)
31000/28000    0.020    0.000    2.090    0.000 {built-in method builtins.setattr}
18000/3000    0.020    0.000    0.074    0.000 core.py:159(get_chords)
    11000    0.020    0.000    0.705    0.000 xsdattribute.py:81(__call__)
    98000    0.020    0.000    0.020    0.000 xsdattribute.py:72(is_required)
    49000    0.019    0.000    0.045    0.000 xmlelement.py:236(xsd_check)
    32000    0.019    0.000    0.025    0.000 voice.py:106(get_children)
     1000    0.019    0.000    3.139    0.003 score.py:66(_update_xml_object)
    31000    0.019    0.000    0.024    0.000 voice.py:113(get_parent)
    27000    0.018    0.000    0.024    0.000 chord.py:438(get_children)
     1000    0.018    0.000    0.353    0.000 quarterduration.py:88(get_beatwise_sections)
    29000    0.018    0.000    0.018    0.000 xmlchildcontainer.py:568(<listcomp>)
139657/131613    0.018    0.000    0.022    0.000 ElementPath.py:197(select_child)
    46000    0.018    0.000    0.018    0.000 ElementTree.py:821(add_qname)
    69000    0.018    0.000    0.018    0.000 xmlwrapper.py:10(xml_object)
     8000    0.018    0.000    0.046    0.000 accidental.py:266(get_pitch_parameters)
    88000    0.017    0.000    0.017    0.000 ElementTree.py:1033(_escape_cdata)
    29000    0.017    0.000    0.028    0.000 xmlchildcontainer.py:279(<listcomp>)
     1000    0.017    0.000   33.726    0.034 time_helloworld.py:9(hello)
    27000    0.017    0.000    0.021    0.000 beat.py:408(get_children)
    49000    0.016    0.000    0.100    0.000 xmlelement.py:47(_fill_xsd_tree)
    19000    0.016    0.000    0.021    0.000 measure.py:353(get_children)
    26000    0.016    0.000    0.255    0.000 xsdcomplextype.py:27(_check_value)
    27000    0.016    0.000    0.022    0.000 staff.py:124(get_parent)
     3000    0.016    0.000    0.047    0.000 xmlelement.py:130(_get_attributes_error_message)
    24000    0.016    0.000    0.020    0.000 accidental.py:259(get_parent)
    73104    0.015    0.000    0.015    0.000 {method 'upper' of 'str' objects}
     1000    0.015    0.000    0.406    0.000 time.py:103(_update_signature)
     2000    0.015    0.000    0.098    0.000 xmlchildcontainer.py:127(__init__)
     1000    0.014    0.000    0.640    0.001 chord.py:494(split_and_add_beatwise)
    15000    0.014    0.000    0.018    0.000 note.py:221(xml_object)
    11000    0.014    0.000    0.023    0.000 xmlelement.py:54(<listcomp>)
    10000    0.014    0.000    0.019    0.000 core.py:35(_get_default_keys)
     2000    0.014    0.000    1.168    0.001 layout.py:56(parent)
     3000    0.014    0.000    0.170    0.000 xmlchildcontainer.py:148(_add_duplication_parent)
    24000    0.014    0.000    0.017    0.000 measure.py:366(get_parent)
    12000    0.014    0.000    0.017    0.000 score.py:215(xml_object)
     3000    0.014    0.000    1.890    0.001 layout.py:80(__init__)
     1000    0.013    0.000    8.168    0.008 measure.py:169(final_updates)
    55000    0.013    0.000    0.013    0.000 xmlelement.py:149(<dictcomp>)
     1000    0.013    0.000    0.535    0.001 voice.py:131(update_beats)
4000/1000    0.013    0.000    8.189    0.008 finalupdate_mixin.py:9(final_updates)
     1000    0.013    0.000    1.691    0.002 layout.py:260(__init__)
    24000    0.013    0.000    0.033    0.000 chord.py:272(notes)
        4    0.012    0.003    0.013    0.003 sre_compile.py:276(_optimize_charset)
    10000    0.012    0.000    0.045    0.000 beat.py:289(is_filled)
    12000    0.012    0.000    0.015    0.000 measure.py:266(xml_object)
    20000    0.012    0.000    0.015    0.000 part.py:313(get_parent)
    90000    0.012    0.000    0.012    0.000 {method 'append' of 'xml.etree.ElementTree.Element' objects}
     1000    0.012    0.000    4.419    0.004 note.py:38(__init__)
     1000    0.012    0.000    0.044    0.000 xmlchildcontainer.py:450(<listcomp>)
